flightId,airlineName,alias,iata,icao,callSign,countryLocated,airlineOperationalStatus
3428,Mavial Magadan Airlines,null,H5,MVL,Mavial,Russia,N
3429,Max Avia,null,null,MAI,MAX AVIA,Kyrgyzstan,N
3430,Max Sea Food,null,null,MSF,MAXESA,El Salvador,N
3431,Max-Aviation,null,null,MAX,MAX AVIATION,Canada,N
3432,Maxair,null,8M,MXL,MAXAIR,Sweden,Y
3433,Maximus Air Cargo,null,null,MXU,CARGO MAX,United Arab Emirates,N
3434,Maxjet Airways,null,MY,MXJ,MAX-JET,United States,N
3435,Maxsus-Avia,null,null,MXS,MAXSUS-AVIA,Uzbekistan,N
3436,May Air Xpress,null,null,MXP,BEECHNUT,United States,N
3437,Maya Island Air,null,MW,MYD,MYLAND,Belize,Y
3438,Mayair,null,null,MYI,MAYAIR,Mexico,N
3439,Mbach Air,null,null,MBS,MBACHI AIR,Malawi,N
3440,McAlpine Helicopters,null,null,MCH,MACLINE,United Kingdom,N
3441,McCall Aviation,null,null,MKL,MCCALL,United States,N
3442,McDonnell Douglas,null,null,DAC,DACO,United States,N
3443,McNeely Charter Services,null,null,MDS,MID-SOUTH,United States,N
3444,Med-Trans of Florida,null,null,MEK,MED-TRANS,United States,N
3445,Medavia Company,null,null,MDM,MEDAVIA,Malta,N
3446,Medical Air Rescue Services,null,null,MRZ,MARS,Zimbabwe,N
3447,Medical Aviation Services,null,null,MCL,MEDIC,United Kingdom,N
3448,Mediterranean Air Freight,null,null,MDF,MED-FREIGHT,Greece,N
3449,Mediterranean Airways,null,null,MDY,null,Egypt,N
3450,Medjet International,null,null,MEJ,MEDJET,United States,N
3451,Mega,null,null,MGK,MEGLA,Kazakhstan,N
3452,Mega Linhas Aereas,null,null,MEL,MEGA AIR,Brazil,N
3453,Mekong Airlines,null,null,MKN,MEKONG AIRLINES,Cambodia,N
3454,Menajet,null,IM,MNJ,MENAJET,Lebanon,N
3456,Merchant Express Aviation,null,null,MXX,MERCHANT,Nigeria,N
3457,Mercury Aircourier Service,null,null,MEC,MERCAIR,United States,N
3458,Meridian,null,null,POV,AIR POLTAVA,Ukraine,N
3459,Meridian Air Cargo,null,null,MRD,MERIDIAN,United States,N
3460,Meridian Airlines,null,null,MHL,HASSIMAIR,Nigeria,N
3461,Meridian Aviation,null,null,DSL,DIESEL,United Kingdom,N
3462,Meridian Limited,null,null,MEM,MERIDIAN CHERRY,Ukraine,N
3463,Meridiana,null,IG,ISS,MERAIR,Italy,Y
3464,Merlin Airways,null,null,MEI,AVALON,United States,N
3465,Merpati Nusantara Airlines,null,MZ,MNA,MERPATI,Indonesia,Y
3466,Mesa Airlines,null,YV,ASH,AIR SHUTTLE,United States,Y
3467,Mesaba Airlines,null,XJ,MES,MESABA,United States,Y
3468,Meta Linhas A,null,null,MSQ,META,Brazil,N
3469,Meteorological Research Flight,null,null,MET,METMAN,United Kingdom,N
3470,Methow Aviation,null,null,MER,METHOW,United States,N
3471,Metro Business Aviation,null,null,MVI,null,United Kingdom,N
3472,Metro Express,null,null,MEX,EAGLE EXPRESS,United States,N
3473,Metroflight,null,null,MTR,METRO,United States,N
3474,Metrojet,null,null,MTJ,METROJET,Hong Kong SAR of China,N
3475,Metropix UK,null,null,PIX,METROPIX,United Kingdom,N
3476,Metroplis,null,null,MPS,METRO REGIONAL,Netherlands,N
3477,Mex Blue,null,null,MXB,MEX BLUE,Mexico,N
3478,Mex-Jet,null,null,MJT,MEJETS,Mexico,N
3479,Mexicana de Aviaci,null,MX,MXA,MEXICANA,Mexico,Y
3480,Mexico Transportes Aereos,null,null,MXT,TRANSMEX,Mexico,N
3481,Miami Air Charter,null,null,HUR,HURRICANE CHARTER,United States,N
3482,Miami Air International,null,GL,BSK,BISCAYNE,United States,N
3483,Miami Valley Aviation,null,null,OWL,NIGHT OWL,United States,N
3484,Miapet-Avia,null,null,MPT,MIAPET,Armenia,N
3485,Michelin Air Services,null,null,BIB,null,France,N
3486,Micromatter Technology Solutions,null,null,WIZ,WIZARD,United Kingdom,N
3487,Mid Airlines,null,null,NYL,NILE,Sudan,N
3488,Mid-Pacific Airlines,null,null,MPA,MID PAC,United States,N
3489,Midamerica Jet,null,null,MJR,MAJOR,United States,N
3490,Middle East Airlines,null,ME,MEA,CEDAR JET,Lebanon,Y
3491,Midland Airport Services,null,null,MID,null,United Kingdom,N
3492,Midline Air Freight,null,null,MFR,MIDLINE FREIGHT,United States,N
3493,Midstate Airlines,null,null,MIS,MIDSTATE,United States,N
3494,Midway Airlines,null,JI,MDW,MIDWAY,United States,Y
3495,Midway Express,null,null,FLA,PALM,United States,N
3496,Midwest Air Freighters,null,null,FAX,FAIRFAX,United States,N
3497,Midwest Airlines,null,YX,MEP,null,United States,Y
3498,Midwest Airlines (Egypt),null,MY,MWA,null,Egypt,Y
3499,Midwest Aviation,null,null,NIT,NIGHTTRAIN,United States,N
3500,Midwest Aviation Division,null,null,MWT,MIDWEST,United States,N
3501,Midwest Helicopters De Mexico,null,null,HTE,HELICOPTERSMEXICO,Mexico,N
3502,Millardair,null,null,MAB,MILLARDAIR,Canada,N
3503,Millen Corporation,null,null,RJM,MILLEN,United Kingdom,N
3504,Millennium Air,null,null,MLK,NIGERJET,Nigeria,N
3505,Miller Flying Services,null,null,MFS,MILLER TIME,United States,N
3506,Million Air,null,null,OXO,MILL AIR,United States,N
3507,Mimino,null,null,MIM,MIMINO,Russia,N
3508,Mina Airline Company,null,null,NAB,null,Egypt,N
3509,Minair,null,null,OMR,ORMINE,Central African Republic,N
3510,Minebea Technologies,null,null,EBE,MINEBEA,United States,N
3511,Mines Air Services Zambia,null,null,MAZ,MINES,Zambia,N
3512,Miniliner,null,null,MNL,MINILINER,Italy,N
3513,Ministic Air,null,null,MNS,MINISTIC,Canada,N
3514,Ministry of Agriculture,null,null,WDG,Fisheries and Food,WATCHDOG,N
3515,Minsk Aircraft Overhaul Plant,null,null,LIR,LISLINE,Belarus,N
3516,Miramichi Air Service,null,null,MIR,MIRAMICHI,Canada,N
3517,Miras,null,null,MIF,MIRAS,Kazakhstan,N
3518,Misr Overseas Airways,null,null,MOS,null,Egypt,N
3519,Mission Aviation Fellowship,null,null,MAF,MISSI,Indonesia,N
3520,Missionair,null,null,MSN,MISIONAIR,Spain,N
3521,Missions Gouvernemtales Francaises,null,null,MRN,MARIANNE,France,N
3522,Mississippi State University,null,null,BDG,BULLDOG,United States,N
3523,Mississippi Valley Airways,null,null,MVA,VALAIR,United States,N
3524,Mistral Air,null,null,MSA,AIRMERCI,Italy,N
3525,Mobil Oil,null,null,MBO,MOBIL,Canada,N
3526,Mocambique Expresso,null,null,MXE,MOZAMBIQUE EXPRESS,Mozambique,N
3527,Mofaz Air,null,null,MFZ,MOFAZ AIR,Malaysia,N
3528,Moldaeroservice,null,null,MLE,MOLDAERO,Moldova,N
3529,Moldavian Airlines,null,2M,MDV,MOLDAVIAN,Moldova,Y
3530,Moldova,null,null,MVG,MOLDOVA-STATE,Moldova,N
3531,Mombasa Air Safari,null,null,RRV,SKYROVER,Kenya,N
3532,Monarch Airlines,null,ZB,MON,MONARCH,United Kingdom,Y
3533,Monarch Airlines,null,null,MNH,MONARCH AIR,United States,N
3534,Myway Airlines,null,8I,null,null,Italy,Y
3535,Moncton Flying Club,null,null,MFC,EAST WIND,Canada,N
3536,Monde Air Charters,null,null,MDB,MONDEAIR CARGO,United Kingdom,N
3537,Monerrey Air Taxi,null,null,MTI,MONTERREY AIR,Mexico,N
3538,Monky Aerotaxis,null,null,MKY,MONKY,Mexico,N
3539,Montenegro Airlines,null,YM,MGX,MONTAIR,Montenegro,Y
3540,Montserrat Airways,null,null,MNT,MONTSERRAT,Montserrat,N
3541,Mooney Aircraft Corporation,null,null,MNY,MOONEY FLIGHT,United States,N
3542,Morningstar Air Express,null,null,MAL,MORNINGSTAR,Canada,Y
3543,Morris Air Service,null,null,MSS,WASATCH,United States,N
3544,Morrison Flying Service,null,null,MRO,MORRISON,United States,N
3545,Moskovia Airlines,null,3R,GAI,GROMOV AIRLINE,Russia,Y
3546,Mosphil Aero,null,null,MPI,MOSPHIL,Philippines,N
3547,Motor Sich,null,M9,MSI,MOTOR SICH,Ukraine,Y
3548,Mount Cook Airlines,null,NM,NZM,MOUNTCOOK,New Zealand,N
3549,Mountain Air Cargo,null,null,MTN,MOUNTAIN,United States,N
3550,Mountain Air Company,null,N4,MTC,MOUNTAIN LEONE,Sierra Leone,N
3551,Mountain Air Express,null,null,PKP,PIKES PEAK,United States,N
3552,Mountain Air Service,null,null,BRR,MOUNTAIN AIR,United States,N
3553,Mountain Bird,null,null,MBI,MOUNTAIN BIRD,United States,N
